,NEIGHBORHOOD,building_category,building_class,zip_code,total_unit,square_feet,house_age,price
2526,FINANCIAL,13,R4,10038,1.0,4256.917964482139,14.0,635000.0
786,CHELSEA,13,R4,10011,1.0,4256.917964482139,44.0,625000.0
80080,MIDLAND BEACH,05,V0,10306,1.0,4256.917964482139,57.0,466326.0
18861,BEDFORD PARK/NORWOOD,02,B1,10467,2.0,2520.0,97.0,625000.0
75053,WHITESTONE,02,B3,11357,2.0,1751.0,92.0,838000.0
22861,RIVERDALE,10,D4,10463,2.3948661722025153,4256.917964482139,76.0,315000.0
11775,UPPER EAST SIDE (59-79),09,C6,10075,2.3948661722025153,4256.917964482139,106.0,420000.0
43414,OCEAN PARKWAY-NORTH,02,B2,11230,2.0,2400.0,86.0,1188000.0
28319,BENSONHURST,04,R3,11214,1.0,4256.917964482139,10.0,652000.0
24525,WAKEFIELD,01,A1,10466,1.0,1419.0,82.0,435000.0
77532,DONGAN HILLS,02,B1,10304,2.0,1552.0,51.0,450000.0
6111,HARLEM-UPPER,13,R4,10031,1.0,4256.917964482139,96.0,665000.0
36213,EAST NEW YORK,01,A4,11207,1.0,1332.0,17.0,370000.0
7969,MIDTOWN EAST,10,D4,10017,2.3948661722025153,4256.917964482139,50.0,2300000.0
54976,ELMHURST,03,C0,11378,3.0,1840.0,32.0,700000.0
54683,ELMHURST,01,A5,11373,1.0,1152.0,71.0,768000.0
67467,MIDDLE VILLAGE,02,B1,11379,2.0,2004.0,87.0,800000.0
28401,BENSONHURST,10,D4,11214,2.3948661722025153,4256.917964482139,55.0,182500.0
78948,GREAT KILLS,02,B2,10312,2.0,2600.0,33.0,655000.0
72280,SO. JAMAICA-BAISLEY PARK,07,C3,11436,4.0,2080.0,77.0,760000.0
12864,UPPER EAST SIDE (59-79),13,R4,10065,1.0,4256.917964482139,50.0,2800000.0
5297,HARLEM-CENTRAL,13,R4,10027,1.0,4256.917964482139,4.0,995848.0
59608,FLUSHING-SOUTH,04,R3,11366,1.0,4256.917964482139,2.0,200506.0
15058,UPPER EAST SIDE (96-110),13,R4,10029,1.0,4256.917964482139,8.0,985000.0
79020,GREAT KILLS,09,C6,10308,2.3948661722025153,4256.917964482139,43.0,170000.0
70210,RICHMOND HILL,02,B2,11418,2.0,2240.0,102.0,660000.0
58357,FLUSHING-NORTH,13,R4,11354,1.0,4256.917964482139,2.0,669741.0
39481,FORT GREENE,10,D4,11201,2.3948661722025153,4256.917964482139,58.0,510000.0
81014,NEW SPRINGVILLE,02,B9,10314,2.0,2100.0,17.0,585000.0
28103,BENSONHURST,02,B1,11214,2.0,1368.0,87.0,895000.0
45863,SHEEPSHEAD BAY,01,A1,11229,1.0,1440.0,87.0,935000.0
5486,HARLEM-CENTRAL,13,R4,10039,1.0,4256.917964482139,96.0,486720.0
34421,CROWN HEIGHTS,07,C5,11216,7.0,3062.0,112.0,900000.0
45997,SHEEPSHEAD BAY,02,B1,11229,2.0,1631.0,77.0,815000.0
3768,GREENWICH VILLAGE-CENTRAL,10,D4,10003,2.3948661722025153,4256.917964482139,61.0,609000.0
56755,FLUSHING-NORTH,01,A1,11365,1.0,1160.0,86.0,765000.0
61351,GLEN OAKS,09,C6,11004,2.3948661722025153,4256.917964482139,69.0,309900.0
64345,JACKSON HEIGHTS,10,D4,11372,2.3948661722025153,4256.917964482139,58.0,280000.0
34213,CROWN HEIGHTS,02,B9,11213,2.0,2254.0,118.0,590000.0
19628,CITY ISLAND,01,A2,10464,1.0,748.0,92.0,554000.0
30324,BRIGHTON BEACH,10,D4,11235,2.3948661722025153,4256.917964482139,55.0,615000.0
47967,WILLIAMSBURG-EAST,07,C1,11206,8.0,2552.0,86.0,1850000.0
37527,FLATBUSH-CENTRAL,10,D4,11226,2.3948661722025153,4256.917964482139,77.0,370000.0
82218,ROSEBANK,01,A5,10305,1.0,1760.0,20.0,502000.0
16615,UPPER WEST SIDE (79-96),09,C6,10024,2.3948661722025153,4256.917964482139,106.0,512000.0
32039,BUSHWICK,15,R1,11221,1.0,4256.917964482139,2.0,468975.0
60801,FOREST HILLS,10,D4,11375,2.3948661722025153,4256.917964482139,61.0,385000.0
31710,BUSHWICK,03,C0,11221,3.0,2700.0,116.0,780000.0
46910,SUNSET PARK,01,A5,11232,1.0,1032.0,107.0,1200000.0
20112,FIELDSTON,01,A5,10471,1.0,1480.0,76.0,335000.0
83975,WESTERLEIGH,01,A2,10314,1.0,900.0,62.0,25000.0
68295,OZONE PARK,02,B3,11416,2.0,2250.0,107.0,750000.0
69488,REGO PARK,10,D4,11374,2.3948661722025153,4256.917964482139,56.0,235000.0
6625,KIPS BAY,13,R4,10016,1.0,4256.917964482139,29.0,1185000.0
19669,CITY ISLAND,01,A1,10464,1.0,1104.0,82.0,410000.0
62378,HOLLIS,01,A1,11423,1.0,4272.0,92.0,700000.0
37655,FLATBUSH-CENTRAL,14,S4,11226,5.0,3042.0,86.0,1210000.0
52908,CAMBRIA HEIGHTS,01,A2,11411,1.0,1080.0,71.0,475000.0
44628,PARK SLOPE,09,C6,11217,2.3948661722025153,4256.917964482139,98.0,905000.0
44649,PARK SLOPE,09,C6,11215,2.3948661722025153,4256.917964482139,97.0,1183000.0
75570,WOODHAVEN,02,B2,11421,2.0,1791.0,116.0,725000.0
71148,ROCKAWAY PARK,01,A6,11694,1.0,420.0,97.0,110000.0
38010,FLATBUSH-EAST,01,A5,11210,1.0,1408.0,106.0,53000.0
24194,THROGS NECK,01,A2,10465,1.0,1033.0,97.0,359000.0
66397,LONG ISLAND CITY,13,R4,11101,1.0,4256.917964482139,97.0,960000.0
36226,EAST NEW YORK,01,S1,11207,2.0,2720.0,82.0,525000.0
57864,FLUSHING-NORTH,13,R4,11354,1.0,4256.917964482139,4.0,544763.0
62309,HOLLIS,01,A9,11423,1.0,1184.0,92.0,400000.0
63192,HOWARD BEACH,02,B2,11414,2.0,2184.0,12.0,764000.0
81604,PORT RICHMOND,01,A1,10302,1.0,1608.0,118.0,232750.0
23358,SCHUYLERVILLE/PELHAM BAY,01,A2,10461,1.0,1512.0,96.0,350000.0
62991,HOWARD BEACH,01,A1,11414,1.0,1125.0,66.0,675000.0
22595,PELHAM PARKWAY SOUTH,02,B1,10462,2.0,1920.0,76.0,579000.0
58481,FLUSHING-NORTH,13,R4,11354,1.0,4256.917964482139,1.0,802623.0
81359,OAKWOOD,01,A2,10306,1.0,1654.0,72.0,638000.0
26970,BEDFORD STUYVESANT,02,S2,11205,3.0,2847.0,82.0,1425000.0
30428,BRIGHTON BEACH,13,R4,11235,1.0,4256.917964482139,66.59317639471138,763687.0
77427,CONCORD,01,A2,10304,1.0,576.0,67.0,357500.0
7535,MIDTOWN EAST,10,D4,10017,2.3948661722025153,4256.917964482139,90.0,650000.0
76010,WOODSIDE,10,D4,11377,2.3948661722025153,4256.917964482139,86.0,235000.0
13643,UPPER EAST SIDE (79-96),10,D4,10028,2.3948661722025153,4256.917964482139,57.0,1385000.0
56280,FLUSHING-NORTH,01,A2,11355,1.0,1575.0,67.0,1090000.0
31083,BROWNSVILLE,01,A5,11212,1.0,1340.0,107.0,473000.0
79752,MARINERS HARBOR,22,K1,10303,1.0,4316.0,86.0,425000.0
3656,GREENWICH VILLAGE-CENTRAL,10,D4,10003,2.3948661722025153,4256.917964482139,64.0,385000.0
44877,PARK SLOPE,13,R4,11215,1.0,4256.917964482139,9.0,795000.0
16598,UPPER WEST SIDE (79-96),09,C6,10024,2.3948661722025153,4256.917964482139,117.0,915000.0
59371,FLUSHING-SOUTH,01,A5,11365,1.0,1260.0,67.0,760000.0
50856,BAYSIDE,01,A1,11360,1.0,1566.0,57.0,938000.0
65394,KEW GARDENS,10,D4,11415,2.3948661722025153,4256.917964482139,89.0,173000.0
35716,DOWNTOWN-METROTECH,10,D4,11201,2.3948661722025153,4256.917964482139,115.0,153000.0
24150,THROGS NECK,01,A1,10465,1.0,1620.0,77.0,412000.0
51927,BAYSIDE,13,R4,11360,1.0,4256.917964482139,44.0,525000.0
10064,MURRAY HILL,10,D4,10016,2.3948661722025153,4256.917964482139,94.0,912900.0
37738,FLATBUSH-EAST,01,A9,11203,1.0,1020.0,107.0,520000.0
16197,UPPER WEST SIDE (59-79),13,R4,10023,1.0,4256.917964482139,89.0,840056.0
67923,OAKLAND GARDENS,09,C6,11364,2.3948661722025153,4256.917964482139,66.0,186000.0
14756,UPPER EAST SIDE (79-96),13,R4,10128,1.0,4256.917964482139,15.0,990452.0
39375,FORT GREENE,02,B9,11238,2.0,3024.0,118.0,80000.0
63340,HOWARD BEACH,09,C6,11414,2.3948661722025153,4256.917964482139,58.0,189000.0
70372,RICHMOND HILL,02,B1,11419,2.0,1956.0,96.0,565000.0
2655,FLATIRON,10,D4,10003,2.3948661722025153,4256.917964482139,51.0,965000.0
715,CHELSEA,13,R4,10011,1.0,4256.917964482139,11.0,2000000.0
75195,WHITESTONE,09,C6,11357,2.3948661722025153,4256.917964482139,66.0,335000.0
26109,BAY RIDGE,09,C6,11209,2.3948661722025153,4256.917964482139,42.0,147000.0
40835,GREENPOINT,13,R4,11222,1.0,4256.917964482139,10.0,682227.0
49023,WILLIAMSBURG-SOUTH,13,R4,11249,1.0,4256.917964482139,2.0,1148031.0
82191,ROSEBANK,01,A2,10305,1.0,1050.0,52.0,375000.0
25869,BAY RIDGE,02,S2,11209,3.0,3300.0,97.0,1500000.0
42126,MARINE PARK,10,D4,11229,2.3948661722025153,4256.917964482139,65.0,150000.0
13168,UPPER EAST SIDE (59-79),13,R4,10021,1.0,4256.917964482139,30.0,2265000.0
63990,JACKSON HEIGHTS,10,D4,11372,2.3948661722025153,4256.917964482139,79.0,440000.0
20249,HIGHBRIDGE/MORRIS HEIGHTS,02,B1,10452,2.0,3250.0,97.0,585000.0
66036,LITTLE NECK,09,C6,11362,2.3948661722025153,4256.917964482139,64.0,195000.0
27503,BEDFORD STUYVESANT,12,R2,11238,1.0,4256.917964482139,6.0,705000.0
74216,ST. ALBANS,01,A1,11412,1.0,2289.0,96.0,160000.0
30278,BRIGHTON BEACH,10,D4,11235,2.3948661722025153,4256.917964482139,53.0,325000.0
18180,WASHINGTON HEIGHTS UPPER,10,D4,10040,2.3948661722025153,4256.917964482139,74.0,1250000.0
30786,BROOKLYN HEIGHTS,10,D4,11201,2.3948661722025153,4256.917964482139,93.0,1568000.0
10129,MURRAY HILL,10,D4,10016,2.3948661722025153,4256.917964482139,62.0,500000.0
5122,HARLEM-CENTRAL,12,R2,10027,1.0,4256.917964482139,107.0,877222.0
13195,UPPER EAST SIDE (59-79),17,R9,10065,2.3948661722025153,4256.917964482139,53.0,597500.0
77533,DONGAN HILLS,02,B2,10304,2.0,2376.0,52.0,510000.0
66010,LITTLE NECK,07,C3,11363,4.0,3454.0,42.0,1200000.0
65374,KEW GARDENS,10,D4,11415,2.3948661722025153,4256.917964482139,79.0,570000.0
83019,STAPLETON-CLIFTON,01,A1,10304,1.0,1152.0,77.0,20000.0
58009,FLUSHING-NORTH,13,R4,11354,1.0,4256.917964482139,3.0,938284.0
69359,REGO PARK,02,B3,11374,2.0,1264.0,81.0,765000.0
52100,BEECHHURST,10,D4,11357,2.3948661722025153,4256.917964482139,61.0,615000.0
37817,FLATBUSH-EAST,01,A1,11203,1.0,1264.0,96.0,325000.0
3008,FLATIRON,15,R1,10010,1.0,4256.917964482139,166.0,2025000.0
60669,FOREST HILLS,10,D4,11375,2.3948661722025153,4256.917964482139,78.0,290000.0
47184,SUNSET PARK,03,C0,11220,3.0,3228.0,106.0,1520000.0
70002,RICHMOND HILL,01,A9,11418,1.0,1152.0,106.0,294060.0
67537,MIDDLE VILLAGE,04,R3,11379,1.0,4256.917964482139,15.0,450000.0
70529,RICHMOND HILL,02,B3,11419,2.0,1616.0,97.0,570000.0
36750,EAST NEW YORK,02,B9,11208,2.0,1900.0,87.0,350000.0
7080,MANHATTAN VALLEY,10,D4,10025,2.3948661722025153,4256.917964482139,86.0,260000.0
10547,ROOSEVELT ISLAND,17,R9,10044,2.3948661722025153,4256.917964482139,42.0,934171.0
61296,GLEN OAKS,01,A2,11040,1.0,1118.0,62.0,568000.0
69811,REGO PARK,13,R4,11374,1.0,4256.917964482139,54.0,304200.0
23883,SOUNDVIEW,03,C0,10472,3.0,2764.0,52.0,505000.0
72372,SOUTH JAMAICA,01,A1,11433,1.0,1207.0,91.0,248000.0
73659,SPRINGFIELD GARDENS,01,A2,11413,1.0,1056.0,67.0,455000.0
48363,WILLIAMSBURG-NORTH,13,R4,11211,1.0,4256.917964482139,3.0,800000.0
78277,GRASMERE,43,RB,10304,1.0,4256.917964482139,40.0,285000.0
13974,UPPER EAST SIDE (79-96),10,D4,10075,2.3948661722025153,4256.917964482139,54.0,792500.0
45922,SHEEPSHEAD BAY,01,S1,11235,2.0,895.0,77.0,499999.0
60724,FOREST HILLS,10,D4,11375,2.3948661722025153,4256.917964482139,61.0,410000.0
39144,FLATLANDS,01,A5,11234,1.0,1296.0,71.0,479000.0
57890,FLUSHING-NORTH,13,R4,11354,1.0,4256.917964482139,4.0,329550.0
81668,PORT RICHMOND,01,A1,10302,1.0,1028.0,102.0,320000.0
81980,PRINCES BAY,02,B9,10309,2.0,1800.0,1.0,75000.0
36152,DYKER HEIGHTS,04,R3,11228,1.0,4256.917964482139,10.0,650000.0
26508,BEDFORD STUYVESANT,01,A4,11216,1.0,2160.0,118.0,995500.0
19279,BRONXDALE,02,B1,10467,2.0,2068.0,101.0,330000.0
25211,WILLIAMSBRIDGE,07,C3,10466,4.0,3744.0,90.0,650000.0
66362,LONG ISLAND CITY,13,R4,11101,1.0,4256.917964482139,2.0,1130257.0
31919,BUSHWICK,07,C5,11221,9.0,4800.0,112.0,1100000.0
75240,WHITESTONE,09,C6,11357,2.3948661722025153,4256.917964482139,64.0,205000.0
41370,MADISON,01,A1,11229,1.0,1540.0,57.0,775000.0
73936,ST. ALBANS,01,A1,11433,1.0,1056.0,82.0,300000.0
9355,MIDTOWN WEST,13,R4,10019,1.0,4256.917964482139,70.0,560000.0
